step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,,0.5,0.5,1,,What question,,,,,,,,,
2,,0.5,0.5,1,,"What is this double-spouted vessel and when did the Nasca start using them? ","Vessels such as these were extremely popular in Nasca societies because of their during feasting ceremonies, in which they would hold a ritual drink. This vessel would have had a ceremonial use for ritual drinking before being placed with the deceased. The ceremonial drink was usually chicha, a corn beer. Coiled vessels such as the double-spout are one of the oldest Nasca vessels used from the civilization’s foundation to its dissolution.",,,,,,,,
3,,0.5,0.5,1,,Who question,,,,,,,,,
4,,0.5,0.5,1,,Who were the original people group/material culture that produced this vessel?,"This type of vessel originates from the Nasca material culture descending from the southern coast of modern-day Peru. The culture flourished from approximately 200BCE-650CE. The Nasca people were renowned for their colorful, slip-painted pottery, vibrant textiles, and particularly famous for their geoglpyhs.",,,,,,,,
5,,0.5,0.5,1,,"From the material culture, who were the specific members of this society who would have utilized this object?","Archaeologists infer that more than likely elites and those connected to religion would have handled these object due to their proposed ritual context. (Will need to elaborate further on this)
",,,,,,,,
6,,0.5,0.5,1,,Where,,,,,,,,,
7,,0.5,0.5,1,,"Where would this have been found/ Where would this have been used ","The double-spout and bridge Nasca vessel is considered to be a mid to high-status vessel found in grave sites. The polychrome vessel was common among households, however this specific style of ceramic was commonly found in gravesites near the deceased, who would be found sitting upright near various other burial goods, which further supports the idea that these ceramic vessels held more significance than the day-to-day life since they were used ritualistically in graves. In other styles of the double spout and bridge vessel, we can see imagery of decapitated deceased individuals, which links to a type of funerary practice in the nearby area, which also further indicates the use of funerary significance for this style of ceramic.
",,,,,,,,
8,,0.5,0.5,1,,What,,,,,,,,,
9,,0.5,0.5,1,,What is the animal on this vessel? Is it a well known spiritual figure or new imagination from the artist?," The animal is the spotted cat, a mythical feline that is one of the two most important supernatural figures in Nasca works. It is a well established spiritual figure and not something the creator imagined. The headdress, whiskers, rounded spots around the body, and connection to plants all define the creature. The spotted cat shows up consistently on Nasca pottery for nearly a thousand years.
",,,,,,,,
10,,0.5,0.5,1,,Why,,,,,,,,,
11,,0.5,0.5,1,,Why are there two spouts," The object has two spouts and a bridge for functional uses. The bridge is used like a handle to carry around this delicate vessel of artwork. The two spouts are used for pouring out liquid. The reason for two spouts is that the liquid can be poured from both sides of the vessel. While liquid pours from one side of the vessel air would flow from the other side. This causes a smooth flow from this object. 
",,,,,,,,
12,,0.5,0.5,1,,what’s the significance of having two spouts?,"The object’s two spouts and bridge specific function is not fully known. Researchers and archeologists can only speculate about the specific function of the spouts and bridge. The Minneapolis Institute of Art says, “While the vessel's specific function is not known, its double spout would facilitate the pouring of liquids, while the bridge handle would be practical for tying onto packs carried by animals, or, if it were larger, for hand carrying.” The MET museum notes, “By manipulating the flow of liquids, the spout could represent the circulation of water from rain to lakes, rivers, plants, and people. The water cycle may have been an organizing principle that aided Andean communities in understanding the complexity of the world and their place within it.” The different spouts that the Nazca civilization would mold onto their pottery is definitively and significantly unique in the ancient world. ",,,,,,,,
